county,year,month,season,total_rainfall,mean_temp,max_temp,min_temp,mean_humidity,mean_solar,mean_wind,dry_days,obs_count,temp_range,drought_flag,is_long_rains,is_short_rains,spi_3
Migori,2017,12,OND,107.13,22.33483870967742,27.960967741935484,17.245806451612903,72.10516129032258,23.324516129032258,1.5090322580645161,19,31,10.71516129032258,1,0,1,-0.45027569010533847
Migori,2018,1,DS1,26.01,21.962903225806453,28.31064516129032,16.648064516129033,67.19967741935484,20.305806451612902,1.8574193548387097,23,31,11.662580645161288,1,0,0,-0.9187752368757438
Migori,2018,2,DS1,152.51,24.833928571428572,31.829285714285714,18.84392857142857,57.621785714285714,23.7475,1.917142857142857,21,28,12.985357142857143,1,0,0,0.8940078018742743
Migori,2018,3,MAM,369.53,20.58483870967742,25.113870967741935,17.234193548387097,83.61709677419356,18.90064516129032,1.5470967741935484,3,31,7.879677419354838,0,1,0,1.0754609736101004
Migori,2018,4,MAM,302.2,20.119333333333334,24.391000000000002,16.694,85.38633333333334,18.067999999999998,1.4806666666666668,5,30,7.697000000000003,0,1,0,0.24714001005044864
Migori,2018,5,MAM,260.55,20.546129032258065,25.465806451612906,16.50258064516129,82.79064516129031,20.546774193548387,1.8719354838709679,6,31,8.963225806451614,0,1,0,-0.9130426161771493
Migori,2018,6,DS2,91.0,20.184,25.358,15.572333333333335,79.16566666666667,19.416333333333334,1.72,12,30,9.785666666666666,0,0,0,-1.1345165886171968
Migori,2018,7,DS2,28.95,19.896451612903224,25.67258064516129,14.794193548387097,74.04741935483872,20.299354838709675,2.1396774193548387,22,31,10.878387096774192,1,0,0,-0.8164698684225562
Migori,2018,8,DS2,69.05,20.686451612903223,26.390645161290323,15.651935483870966,72.3941935483871,20.46225806451613,1.961290322580645,15,31,10.738709677419356,0,0,0,0.1922813793851633
Migori,2018,9,DS2,34.37,22.942333333333334,29.961000000000002,16.476000000000003,61.01166666666666,23.72266666666667,2.546,21,30,13.485,1,0,0,-0.44829380015367104
Migori,2018,10,OND,41.94,23.22483870967742,30.27032258064516,17.624193548387098,64.02741935483871,22.32161290322581,2.2,18,31,12.646129032258063,1,0,1,-0.35720036913799974
Migori,2018,11,OND,156.98,23.057666666666666,29.607666666666667,17.854333333333333,71.191,22.875,1.7543333333333335,14,30,11.753333333333334,0,0,1,1.1529471155690354
Migori,2018,12,OND,259.96999999999997,21.51322580645161,26.831612903225807,17.14,78.61580645161291,20.88258064516129,1.5170967741935484,8,31,9.691612903225806,0,0,1,0.9810781336270764
Migori,2019,1,DS1,17.23,22.70709677419355,29.029354838709676,17.02258064516129,70.3883870967742,22.734516129032258,1.5348387096774192,25,31,12.006774193548384,1,0,0,-1.0464869499478175
Migori,2019,2,DS1,31.96,24.77857142857143,32.527857142857144,18.730357142857144,61.426785714285714,24.521785714285716,1.8817857142857142,22,28,13.7975,1,0,0,-0.5223869068993925
Migori,2019,3,MAM,63.41,24.74516129032258,32.18709677419355,18.904516129032256,62.704193548387096,24.66774193548387,1.9035483870967742,18,31,13.282580645161293,1,1,0,1.0969765716279132
Migori,2019,4,MAM,175.01000000000002,24.500666666666667,31.485666666666667,19.24233333333333,66.826,22.897666666666666,1.8346666666666667,14,30,12.243333333333336,0,1,0,1.1291550780803974
