county,year,month,season,total_rainfall,mean_temp,max_temp,min_temp,mean_humidity,mean_solar,mean_wind,dry_days,obs_count,temp_range,drought_flag,is_long_rains,is_short_rains,spi_3,overall_cpi,yoy_inflation,ipc_phase,ipc_phase_label,has_humanitarian
Elgeyo Marakwet,2016,8,DS2,30.97,20.250967741935483,26.727741935483877,14.548387096774194,64.70483870967742,20.59161290322581,0.9035483870967742,22,31,12.17935483870968,1,0,0,-1.0057749390215618,,,1,Minimal,False
Elgeyo Marakwet,2016,9,DS2,26.92,21.578333333333333,28.39966666666667,15.251333333333331,57.947,22.793333333333333,0.9523333333333334,22,30,13.148333333333335,1,0,0,-0.7166752930629074,,,1,Minimal,False
Elgeyo Marakwet,2016,10,OND,7.73,22.434516129032257,29.481290322580644,15.871612903225806,50.62,23.63741935483871,1.257741935483871,29,31,13.609677419354838,1,0,1,-1.139236199660168,,,1,Minimal,False
Elgeyo Marakwet,2016,11,OND,23.03,21.01966666666667,27.848000000000003,15.503333333333334,61.50833333333333,20.711666666666662,1.488,21,30,12.344666666666669,1,0,1,0.37491187812337,,,1,Minimal,False
Elgeyo Marakwet,2016,12,OND,5.4,20.86354838709677,28.337419354838712,14.314516129032258,57.11387096774193,22.48516129032258,1.6974193548387095,30,31,14.022903225806454,1,0,1,-0.6947059601525563,,,1,Minimal,False
Elgeyo Marakwet,2017,1,DS1,4.76,21.266774193548382,29.976774193548387,13.275806451612905,44.34193548387096,25.09354838709677,1.6958064516129032,29,31,16.700967741935486,1,0,0,-0.6079383085801708,,,1,Minimal,False
Elgeyo Marakwet,2017,2,DS1,9.45,22.03107142857143,30.089642857142856,14.678928571428573,51.945,24.439642857142854,1.7332142857142858,26,28,15.410714285714285,1,0,0,1.145523632424721,,,1,Minimal,False
Elgeyo Marakwet,2017,3,MAM,9.22,23.57677419354839,31.50258064516129,16.32193548387097,46.546451612903226,25.46225806451613,1.715483870967742,28,31,15.180645161290322,1,1,0,0.5333071647307589,,,1,Minimal,False
Elgeyo Marakwet,2017,4,MAM,41.57,22.574,29.945666666666668,16.208666666666666,55.835,23.376666666666665,1.5676666666666668,26,30,13.737000000000002,1,1,0,1.1546784944747055,,,1,Minimal,False
Elgeyo Marakwet,2017,5,MAM,81.02,21.22967741935484,27.54258064516129,15.567419354838709,66.31967741935483,20.92967741935484,0.9629032258064516,18,31,11.975161290322582,1,1,0,1.0312825829812875,,,1,Minimal,False
Elgeyo Marakwet,2017,6,DS2,12.7,21.740333333333336,28.142666666666667,15.680666666666667,59.455000000000005,21.17833333333333,0.9166666666666666,27,30,12.462,1,0,0,-0.9446121571782824,,,1,Minimal,False
Elgeyo Marakwet,2017,7,DS2,84.16,20.05290322580645,25.87967741935484,15.541612903225806,70.84806451612903,18.171612903225807,0.8951612903225806,11,31,10.338064516129032,0,0,0,0.6157928955268792,,,1,Minimal,False
Elgeyo Marakwet,2017,8,DS2,53.95,20.32064516129033,26.291612903225804,15.103548387096774,67.92451612903226,20.16,0.8625806451612904,14,31,11.18806451612903,0,0,0,0.1025874017947445,,,1,Minimal,False
Elgeyo Marakwet,2017,9,DS2,62.39,20.974,27.143,15.498,65.71033333333334,21.252,0.945,16,30,11.644999999999998,1,0,0,-0.2850584819499838,,,1,Minimal,False
Elgeyo Marakwet,2017,10,OND,65.44,21.30258064516129,27.944193548387094,15.734516129032258,63.061290322580646,22.10258064516129,1.1029032258064515,22,31,12.20967741935484,1,0,1,0.8142952254207627,,,1,Minimal,False
Elgeyo Marakwet,2017,11,OND,44.34,20.061,26.538,14.684666666666669,67.82633333333334,21.715,1.306,19,30,11.853333333333332,1,0,1,-1.1443296719514964,,,1,Minimal,False
Elgeyo Marakwet,2017,12,OND,1.54,20.51903225806452,28.28161290322581,13.446129032258064,54.47387096774194,23.92032258064516,1.465483870967742,31,31,14.835483870967742,1,0,1,-1.0923991540843918,,,1,Minimal,False
Elgeyo Marakwet,2018,1,DS1,1.18,21.245806451612903,28.75258064516129,13.747741935483871,44.04548387096774,22.27,1.3590322580645162,31,31,15.00483870967742,1,0,0,-0.5845887085896094,,,1,Minimal,False
Elgeyo Marakwet,2018,2,DS1,1.97,22.4475,30.89,14.788214285714286,46.98571428571428,25.505714285714284,1.8228571428571427,27,28,16.10178571428571,1,0,0,1.0281913034564345,,,1,Minimal,False
Elgeyo Marakwet,2018,3,MAM,67.12,20.516129032258064,26.807741935483868,15.492903225806453,67.22612903225807,19.24774193548387,1.3693548387096774,14,31,11.314838709677415,0,1,0,1.154637639892553,,,1,Minimal,False
Elgeyo Marakwet,2018,4,MAM,186.46,19.542,25.08333333333333,15.572,77.55866666666667,18.407333333333334,1.0553333333333332,5,30,9.511333333333331,0,1,0,1.0824548069512556,,,1,Minimal,False
Elgeyo Marakwet,2018,5,MAM,95.82,19.318064516129034,24.35709677419355,15.248064516129032,79.05064516129033,20.405483870967743,0.8535483870967743,10,31,9.109032258064518,0,1,0,-0.3314527522759131,,,1,Minimal,False
Elgeyo Marakwet,2018,6,DS2,104.83,18.433,23.23433333333333,14.243666666666666,80.44766666666666,17.881666666666668,0.8776666666666666,12,30,8.990666666666666,0,0,0,-0.4847761428441812,,,1,Minimal,False
Elgeyo Marakwet,2018,7,DS2,40.68,18.74129032258065,24.0641935483871,14.493548387096777,75.61774193548388,18.20935483870968,0.8719354838709678,21,31,9.570645161290324,1,0,0,-1.1449445593511078,,,1,Minimal,False
Elgeyo Marakwet,2018,8,DS2,36.85,19.92290322580645,25.94322580645161,14.281612903225808,65.82612903225807,19.79258064516129,0.8903225806451613,22,31,11.661612903225809,1,0,0,-0.6267671009937906,,,1,Minimal,False
Elgeyo Marakwet,2018,9,DS2,8.76,21.819000000000003,29.051666666666662,14.665666666666668,55.22033333333333,24.206666666666667,0.96,27,30,14.385999999999996,1,0,0,-1.147709322207338,,,1,Minimal,False
Elgeyo Marakwet,2018,10,OND,17.68,21.576451612903227,28.414516129032258,15.371935483870969,57.410322580645165,22.378387096774198,1.223225806451613,25,31,13.04258064516129,1,0,1,-0.2380404898862551,,,1,Minimal,False
Elgeyo Marakwet,2018,11,OND,20.17,21.573,28.415000000000003,15.696,60.54133333333333,22.35933333333333,1.5993333333333333,24,30,12.719000000000005,1,0,1,0.7723033898532699,,,1,Minimal,False
Elgeyo Marakwet,2018,12,OND,27.77,20.901935483870968,27.884516129032257,14.72258064516129,60.824516129032254,21.510322580645163,1.457741935483871,25,31,13.161935483870966,1,0,1,1.121841734592598,,,1,Minimal,False
Elgeyo Marakwet,2019,1,DS1,7.180000000000001,21.67225806451613,29.29064516129032,14.724516129032258,50.1,23.71516129032258,1.6483870967741936,28,31,14.566129032258065,1,0,0,-1.0750501006301831,,,1,Minimal,False
Elgeyo Marakwet,2019,2,DS1,2.06,22.785,30.822857142857146,15.412857142857144,47.30964285714286,25.415,1.8592857142857144,28,28,15.409999999999998,1,0,0,-0.7551588316194904,,,1,Minimal,False
Elgeyo Marakwet,2019,3,MAM,24.63,23.27548387096774,31.280967741935484,16.048709677419353,47.08774193548387,25.736129032258063,1.683548387096774,28,31,15.232258064516133,1,1,0,1.1273540456022468,,,1,Minimal,False
Elgeyo Marakwet,2019,4,MAM,48.77,23.477666666666668,30.904,17.002666666666666,53.563,23.65233333333333,1.6030000000000002,24,30,13.901333333333334,1,1,0,1.011013535822773,,,1,Minimal,False
Elgeyo Marakwet,2019,5,MAM,30.93,21.661612903225805,28.13193548387097,15.90516129032258,63.2758064516129,21.90129032258065,1.1161290322580646,22,31,12.226774193548389,1,1,0,-0.3072102595895405,,,1,Minimal,False
Elgeyo Marakwet,2019,6,DS2,76.94,20.495,26.406,15.715666666666667,69.87233333333333,17.186,0.9726666666666668,13,30,10.690333333333331,0,0,0,1.065921017537006,,,1,Minimal,False
Elgeyo Marakwet,2019,7,DS2,70.87,20.12483870967742,25.990967741935485,14.820645161290322,68.47516129032257,19.245806451612903,0.8651612903225806,16,31,11.170322580645164,1,0,0,0.4516621168457649,,,1,Minimal,False
Elgeyo Marakwet,2019,8,DS2,45.14,20.350967741935484,26.25032258064516,15.168064516129032,67.81645161290322,20.05258064516129,0.8835483870967742,13,31,11.082258064516129,0,0,0,-1.135888573538984,,,1,Minimal,False
Elgeyo Marakwet,2019,9,DS2,41.23,21.67633333333333,28.32133333333333,15.815666666666669,61.074,22.281,0.9296666666666666,18,30,12.505666666666665,1,0,0,-0.6944851266077987,,,1,Minimal,False
Elgeyo Marakwet,2019,10,OND,50.97,20.886774193548387,27.44483870967742,15.57483870967742,66.37870967741935,21.35225806451613,1.211290322580645,11,31,11.87,0,0,1,1.058872804764198,,,1,Minimal,False
Elgeyo Marakwet,2019,11,OND,44.72,20.600666666666665,26.98933333333333,15.696,68.634,20.478666666666665,1.2846666666666666,19,30,11.293333333333331,1,0,1,-0.1864331703423237,,,1,Minimal,False
Elgeyo Marakwet,2019,12,OND,47.61,20.24225806451613,26.531935483870967,15.46548387096774,69.55451612903227,19.656129032258065,1.2238709677419355,17,31,11.066451612903226,1,0,1,-0.050086149029296,,,1,Minimal,False
Elgeyo Marakwet,2020,1,DS1,34.83,20.83483870967742,27.29967741935484,15.446451612903225,63.29935483870968,20.73032258064516,1.3267741935483872,20,31,11.853225806451611,1,0,0,-1.1275413261273424,,,1,Minimal,False
Elgeyo Marakwet,2020,2,DS1,24.77,21.66241379310345,29.17586206896552,15.194137931034485,60.41793103448276,23.817586206896557,1.5082758620689656,25,29,13.981724137931035,1,0,0,-0.9580416974418682,107.174,7.17,1,Minimal,False
Elgeyo Marakwet,2020,3,MAM,54.42,22.28774193548387,29.100967741935484,16.583548387096776,62.42354838709677,22.26225806451613,1.3929032258064515,19,31,12.517419354838708,1,1,0,1.0885546405539783,107.475,5.84,1,Minimal,False
Elgeyo Marakwet,2020,4,MAM,133.99,20.904,27.256666666666668,16.098333333333333,71.50833333333334,20.84333333333333,1.182,10,30,11.158333333333337,0,1,0,1.114212133824003,108.495,6.01,1,Minimal,False
Elgeyo Marakwet,2020,5,MAM,58.5,20.38741935483871,25.878387096774198,15.820967741935483,74.05129032258066,21.57354838709677,0.893225806451613,16,31,10.05741935483871,1,1,0,-0.5312244663726277,108.602,5.33,1,Minimal,False
Elgeyo Marakwet,2020,6,DS2,116.32,19.477,24.601666666666667,15.171666666666663,75.01266666666668,18.802333333333333,0.8733333333333333,12,30,9.43,0,0,0,0.3389521703514455,108.266,4.59,1,Minimal,False
Elgeyo Marakwet,2020,7,DS2,73.46,18.956774193548387,24.15806451612903,14.880322580645162,75.9274193548387,16.614193548387096,0.8490322580645161,12,31,9.277741935483869,0,0,0,-0.3098871527595807,108.354,4.36,1,Minimal,False
Elgeyo Marakwet,2020,8,DS2,75.38000000000001,19.193548387096776,24.50258064516129,14.889032258064516,76.80483870967741,18.89516129032258,0.8519354838709677,14,31,9.613548387096776,0,0,0,-0.537243181348041,108.573,4.36,1,Minimal,False
Elgeyo Marakwet,2020,9,DS2,56.5,20.523666666666667,26.616666666666667,14.988333333333332,67.368,21.912,0.928,19,30,11.628333333333334,1,0,0,-1.1497615985874987,108.571,4.2,1,Minimal,False
Elgeyo Marakwet,2020,10,OND,39.54,20.91193548387097,26.937419354838703,15.973548387096775,65.35774193548387,21.2558064516129,0.9835483870967744,21,31,10.963870967741933,1,0,1,-0.9816734189624108,109.604,4.84,1,Minimal,False
Elgeyo Marakwet,2020,11,OND,32.47,20.738666666666667,27.514666666666667,15.068,65.34366666666666,21.989666666666665,1.3213333333333332,19,30,12.446666666666667,1,0,1,-0.8394372125444083,110.779,5.33,1,Minimal,False
Elgeyo Marakwet,2020,12,OND,44.73,20.526129032258066,28.18193548387097,13.26032258064516,55.85322580645161,23.641290322580645,1.4087096774193548,25,31,14.921612903225803,1,0,1,0.9451882310674926,111.866,5.62,1,Minimal,False
Elgeyo Marakwet,2021,1,DS1,12.12,20.03451612903226,27.37741935483871,13.284193548387098,58.64387096774194,22.20387096774194,1.4558064516129032,27,31,14.093225806451612,1,0,0,-1.0717566711500006,112.576,5.69,1,Minimal,False
Elgeyo Marakwet,2021,2,DS1,10.46,21.654642857142857,29.106428571428573,14.824285714285711,52.00035714285714,21.77392857142857,1.3735714285714289,24,28,14.28214285714286,1,0,0,-0.619768306559416,113.365,5.78,1,Minimal,False
Elgeyo Marakwet,2021,3,MAM,7.81,22.23032258064516,30.15741935483871,14.952903225806452,51.296451612903226,24.43032258064516,1.6948387096774191,30,31,15.204516129032257,1,1,0,-1.067222347873026,113.814,5.9,1,Minimal,False
